100
AB,42,0,0
AC,75,5,24
AD,87,19,0
BE,80,19,33
AI,55,33,15
AF,69,39,2
BA,57,41,0
BX,97,51,27
AH,26,67,0
BI,4,75,0
AG,80,85,35
AW,32,89,0
BG,66,102,20
AV,6,109,4
BY,91,114,1
CA,81,181,0
CD,17,182,0
DT,93,182,2
AE,100,187,0
DC,20,223,0
AO,73,277,0
AT,27,299,0
AN,23,314,6
AZ,77,336,0
AP,58,368,0
BO,35,446,18
AU,96,448,44
AQ,35,454,0
AR,47,454,0
BZ,35,458,0
BK,68,459,1
AL,74,462,0
AK,12,466,5
AJ,89,499,0
AM,28,513,4
BR,75,521,30
BC,63,529,9
AS,58,530,0
AX,92,541,42
DQ,85,621,19
BM,48,690,14
BQ,91,747,0
CF,33,770,9
BF,10,781,4
BP,28,790,9
CL,60,800,0
CJ,45,937,0
AY,89,942,33
CG,53,972,7
CM,76,979,20
CR,77,1009,21
BU,33,1071,0
DX,59,1087,16
CE,92,1103,10
BD,10,1147,0
BJ,65,1200,0
BN,41,1273,9
CK,12,1280,2
BW,27,1423,2
BL,62,1513,6
CI,29,1514,0
BH,64,1544,23
DM,44,1781,0
CQ,87,1843,0
DE,14,1891,0
CV,11,1904,0
CN,54,1937,12
CU,3,1969,2
DW,64,1989,27
BV,10,2122,0
DJ,59,2128,0
CZ,67,2138,16
CX,61,2160,0
BS,8,2163,4
DH,71,2244,17
BT,19,2257,0
DF,46,2311,23
DZ,37,2323,16
CB,29,2332,0
CH,76,2362,0
DN,10,2417,1
CS,21,2546,5
CP,18,2584,0
DU,20,2727,1
CY,85,2761,14
DO,52,2768,1
DY,99,2797,30
DA,12,2858,4
CO,80,3035,23
CW,87,3151,18
DG,57,3369,7
CT,86,3416,2
DV,32,3441,1
DL,57,3528,19
DP,50,3753,23
DB,73,3774,0
DI,75,3862,0
DR,73,4045,28
DK,16,4163,0
DS,64,4480,0
